type,id,lat,lon,name
14,N349566207,44.3797222,-95.0530556,Clements Post Office
14,N349566229,44.6052778,-95.3291667,Belview Post Office
14,N349566248,44.4021479,-95.2554357,Wabasso Post Office
14,N349566268,44.3163889,-95.2113889,Wanda Post Office
14,N349566300,44.5991667,-95.2108333,Delhi Post Office
14,N349566316,44.2238889,-95.3641667,Revere Post Office
14,N349566330,44.2230556,-95.4691667,Walnut Grove Post Office
14,N349566348,44.21,-95.1277778,Sanborn Post Office
14,N349566367,44.5077778,-95.4161111,Vesta Post Office
14,N349566387,44.2166667,-95.7597222,Garvin Post Office
14,N349566407,44.5136578,-95.8928982,Ghent Post Office
14,N349566426,44.385555600000004,-95.8922222,Lynd Post Office
14,N349566443,44.2325,-95.6194444,Tracy Post Office
14,N349566465,44.4772222,-95.3261111,Seaforth Post Office
14,N349566484,44.2341667,-95.8716667,Balaton Post Office
14,N349566504,44.6091667,-95.6747222,Cottonwood Post Office
14,N349566527,44.3072222,-91.9958333,Kellogg Post Office
14,N349566549,44.3838889,-92.0327778,Wabasha Post Office
14,N349566573,44.5638889,-92.5361111,Red Wing Post Office
14,N349566592,44.2891667,-92.1919444,Theilman Post Office
14,N349566613,44.2930556,-92.6694444,Zumbrota Post Office
14,N349566630,44.2833333,-92.4219444,Zumbro Falls Post Office
14,N349566666,44.2730556,-92.5447222,Mazeppa Post Office
14,N349566689,44.2447222,-92.2955556,Millville Post Office
14,N349566713,44.1308333,-92.2502778,Elgin Post Office
14,N349566733,44.4485866,-92.2670457,Lake City Post Office
14,N349566753,44.7705556,-94.15,Glencoe Post Office
14,N349566775,44.7316667,-94.3516667,Brownton Post Office
14,N349566804,44.775,-94.0394444,Plato Post Office
14,N349566827,44.8858333,-94.0413889,Lester Prairie Post Office
14,N349566852,44.7247222,-94.4855556,Stewart Post Office
14,N349566876,44.9027778,-94.1966667,Silver Lake Post Office
14,N349566899,44.6069444,-94.0794444,Arlington Post Office
14,N349566946,44.5336111,-94.5263889,Gibbon Post Office
14,N349566968,44.5527778,-94.2194444,Gaylord Post Office
14,N349566987,44.5411111,-94.3616667,Winthrop Post Office
14,N349567008,44.6791667,-94.0080556,Green Isle Post Office
14,N349567037,44.6736111,-94.2294444,New Auburn Post Office
14,N349567068,44.5277778,-93.9069444,Henderson Post Office
14,N349567139,44.4013889,-92.6227778,Goodhue Post Office
14,N349567159,44.5108333,-92.3541667,Frontenac Post Office
14,N349567188,44.2722222,-92.985,Kenyon Post Office
14,N349567236,44.2252778,-92.7713889,Roscoe Post Office
14,N349567270,44.3038889,-92.7908333,Wanamingo Post Office
14,N349567290,44.5680556,-92.7388889,Welch Post Office
14,N349567313,45.2019444,-96.0188889,Appleton Post Office
14,N349567332,45.2486111,-95.9077778,Holloway Post Office
14,N349567353,45.2633333,-95.4675,De Graff Post Office
14,N349567377,45.1908333,-95.3144444,Kerkhoven Post Office
14,N349567405,45.3163889,-95.6005556,Benson Post Office
14,N349567440,45.2241667,-95.3925,Murdock Post Office
14,N349567552,44.6927778,-95.6216667,Hanley Falls Post Office
14,N349567591,44.6169444,-95.4158333,Echo Post Office
14,N349567617,44.7902778,-95.8055556,Clarkfield Post Office
14,N349567645,44.7105556,-96.2747222,Canby Post Office
14,N349567673,44.6527778,-95.5380556,Wood Lake Post Office
14,N349567695,44.7519444,-95.7147222,Hazel Run Post Office
14,N349567738,44.7172222,-96.0519444,Saint Leo Post Office
14,N349567764,44.6363889,-96.1652778,Porter Post Office
14,N349567897,44.7919444,-95.0969444,Danube Post Office
14,N349567970,44.8116667,-95.5380556,Granite Falls Post Office
14,N349568025,44.7756132,-94.9885984,Olivia Post Office
14,N349568112,44.7661111,-94.8947222,Bird Island Post Office
14,N349568172,44.5280556,-94.7208333,Fairfax Post Office
14,N349568310,44.5297222,-94.8830556,Franklin Post Office
14,N349568378,44.7366667,-94.6166667,Buffalo Lake Post Office
